phylum,class,order,family,genus,species,common name,study sample sex,study sample size,body mass (kg),metabolic rate (W),mass-specific metabolic rate (W/kg),brain size (kg),brain size - method
Chordata,Amphibia,Anura,Hylidae,Hyla,Hyla versicolor,Gray Treefrog Species Complex,,1,0.01315,,,4.23E-05,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Pseudacris,Pseudacris triseriata,Boreal Chorus Frog,,3,1.00E-04,,,2.26E-06,histological reconstruction
Chordata,Amphibia,Anura,Hylidae,Acris,Acris crepitans,Blanchard's Cricket Frog,,3,3.00E-04,,,4.43E-06,histological reconstruction
Chordata,Amphibia,Anura,Ceratobatrachidae,Platymantis,Platymantis vitiensis,Fiji Tree Frog,,1,3.00E-04,,,4.93E-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana sylvatica,Wood Frog,,3,0.00037,,,8.57E-06,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana pipiens,Northern Leopard Frog,,3,0.0011,,,2.04E-05,histological reconstruction
Chordata,Amphibia,Anura,Ranidae,Rana,Rana clamitans,Green Frog,,3,0.00362,,,3.92E-05,histological reconstruction
Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,African Clawed Frog,,1,0.03237,,,5.14E-05,histological reconstruction
Chordata,Amphibia,Anura,Rhionphrynidae,Rhinophrynus,Rhinophrynus dorsalis,Mexican Burrowing Toad,,1,0.01657,,,3.29E-05,histological reconstruction
Arthropoda,Arachnida,Araneae,Ctenidae,Cupiennius,Cupiennius salei,Tiger Bromeliad Spider,,5,,,,2.51E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,,5,,,,6.31E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theraphosidae,Ephebopus,Ephebopus sp.,0,,3,,,,3.82E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,Phidippus regius,Regal Jumping Spider,,3,,,,2.75E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,Silver-sided Sector Spider,,20,3.90E-05,,,1.22E-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,Zygiella x-notata,Silver-sided Sector Spider,,13,2.90E-05,,,1.36E-06,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmena,Mysmena sp.,0,female,1,1.00E-07,,,4.04E-09,histological reconstruction
Arthropoda,Arachnida,Araneae,Mysmenidae,Mysmenopsis,Mysmenopsis tengellacompa,0,female,1,3.00E-07,,,1.88E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,0,female,1,8.00E-07,,,1.32E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Anapidae,Anapisona,Anapisona simoni,0,male,1,8.00E-07,,,1.20E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,0,female,1,3.00E-06,,,3.40E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus elevatus,0,male,1,2.40E-06,,,5.51E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Theridiidae,Faiditus,Faiditus sp.,0,male,1,2.70E-06,,,5.57E-08,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Eustala,Eustala illicita,0,male,1,1.40E-05,,,,
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,0,female,1,6.00E-05,,,1.58E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,Leucauge mariana,0,male,1,2.00E-05,,,1.34E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Argiope,Argiope argentata,Silver Garden Orbweaver,female,1,0.00025,,,3.45E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,female,1,0.002,,,6.63E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Araneidae,Nephila,Nephila clavipes,Golden Silk Spider,male,1,1.12E-05,,,1.62E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Agelenidae,Eratigena,Eratigena atrica,Giant House Spider Complex,,10,,,,1.38E-07,histological reconstruction
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.45E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.20E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.43E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.30E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.95E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,2.44E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.11E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,3.50E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,4.01E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.53E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.88E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,2.91E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,3.76E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.79E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.91E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,4.38E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,4.33E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,female,1,,,,4.50E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.96E-08,micro-CT
Arthropoda,Arachnida,Araneae,Deinopidae,Deinopis,Deinopis spinosa,Ogre-faced Spider,male,1,,,,3.50E-08,micro-CT
Chordata,Aves,Casuariiformes,Casuariidae,Casuarius,Casuarius casuarius,Cassowaries,,1,43.85,,,0.0376586,skull filling
Chordata,Aves,Casuariiformes,Casuariidae,Dromaius,Dromaius novaehollandiae,Emu,,1,36.5,,,0.02991968,skull filling
Chordata,Aves,Galliformes,Megapodiidae,Alectura,Alectura lathami,Australian Brushturkey,,1,2.3,,,0.00588448,skull filling
Chordata,Aves,Galliformes,Megapodiidae,Leipoa,Leipoa ocellata,Malleefowl,,1,2,,,0.004662,skull filling
Chordata,Aves,Galliformes,Phasianidae,Coturnix,Coturnix pectoralis,Stubble Quail,,1,0.105,,,0.00099456,skull filling
Chordata,Aves,Galliformes,Phasianidae,Excalfactoria,Excalfactoria chinensis,Blue-breasted Quail,,1,0.0375,,,0.00058016,skull filling
Chordata,Aves,Anseriformes,Anseranatidae,Anseranas,Anseranas semipalmata,Magpie Goose,,1,2.4,,,0.0091168,skull filling
Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna eytoni,Plumed Whistling-Duck,,1,1,,,0.00472416,skull filling
Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Dendrocygna arcuata,Wandering Whistling-Duck,,1,0.8,,,0.00467236,skull filling
Chordata,Aves,Anseriformes,Anatidae,Biziura,Biziura lobata,Musk Duck,,1,1.975,,,0.00903392,skull filling
Chordata,Aves,Anseriformes,Anatidae,Stictonetta,Stictonetta naevosa,Freckled Duck,,1,0.91,,,0.00456876,skull filling
Chordata,Aves,Anseriformes,Anatidae,Cereopsis,Cereopsis novaehollandiae,Cape Barren Goose,,1,5,,,0.00914788,skull filling
Chordata,Aves,Anseriformes,Anatidae,Cygnus,Cygnus atratus,Black Swan,,1,6.1,,,0.0125874,skull filling
Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna radjah,Radjah Shelduck,,1,0.885,,,0.00536648,skull filling
Chordata,Aves,Anseriformes,Anatidae,Tadorna,Tadorna tadornoides,Australian Shelduck,,1,1.45,,,0.00603988,skull filling
Chordata,Aves,Anseriformes,Anatidae,Chenonetta,Chenonetta jubata,Australian Wood Duck,,1,0.8,,,0.00422688,skull filling
Chordata,Aves,Anseriformes,Anatidae,Malacorhynchus,Malacorhynchus membranaceus,Pink-eared Duck,,1,0.375,,,0.0029526,skull filling
Chordata,Aves,Anseriformes,Anatidae,Nettapus,Nettapus pulchellus,Green Pygmy-Goose,,1,0.28,,,0.00277648,skull filling
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas rhynchotis,Australasian Shoveler,,1,0.65,,,0.00366744,skull filling
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas gracilis,Grey Teal,,1,0.4965,,,0.00364672,skull filling
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas castanea,Chestnut Teal,,1,0.65,,,0.00386428,skull filling
Chordata,Aves,Anseriformes,Anatidae,Anas,Anas superciliosa,Pacific Black Duck,,1,1,,,0.00552188,skull filling
Chordata,Aves,Anseriformes,Anatidae,Aythya,Aythya australis,Hardhead,,1,0.85,,,0.00506604,skull filling
Chordata,Aves,Anseriformes,Anatidae,Oxyura,Oxyura australis,Blue-billed Duck,,1,0.85,,,0.00416472,skull filling
Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon rubricauda,Red-tailed Tropicbird,,1,0.8,,,0.00468272,skull filling
Chordata,Aves,Podicipediformes,Podicipedidae,Tachybaptus,Tachybaptus novaehollandiae,Australasian Grebe,,1,0.165,,,0.00171976,skull filling
Chordata,Aves,Podicipediformes,Podicipedidae,Poliocephalus,Poliocephalus poliocephalus,Gray-headed Swamphen,,1,0.24,,,0.00178192,skull filling
Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,Podiceps cristatus,Great Crested Grebe,,1,1.1,,,0.00322196,skull filling
Chordata,Aves,Columbiformes,Columbidae,Columba,Columba leucomela,White-headed Pigeon,,1,0.42,,,0.00237244,skull filling
Chordata,Aves,Columbiformes,Columbidae,Macropygia,Macropygia amboinensis,Brown Cuckoo-Dove,,1,0.2,,,0.00154364,skull filling
Chordata,Aves,Columbiformes,Columbidae,Chalcophaps,Chalcophaps indica,Asian Emerald Dove,,1,0.135,,,0.001295,skull filling
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps chalcoptera,Common Bronzewing,,1,0.335,,,0.00184408,skull filling
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps elegans,Brush Bronzewing,,1,0.205,,,0.0017094,skull filling
Chordata,Aves,Columbiformes,Columbidae,Phaps,Phaps histrionica,Flock Bronzewing,,1,0.3,,,0.0017094,skull filling
Chordata,Aves,Columbiformes,Columbidae,Ocyphaps,Ocyphaps lophotes,Crested Pigeon,,1,0.19,,,0.0017612,skull filling
Chordata,Aves,Columbiformes,Columbidae,Geophaps,Geophaps plumifera,Spinifex Pigeon,,1,0.095,,,0.00122248,skull filling
Chordata,Aves,Columbiformes,Columbidae,Geophaps,Geophaps smithii,Partridge Pigeon,,1,0.205,,,0.00144004,skull filling
Chordata,Aves,Columbiformes,Columbidae,Petrophassa,Petrophassa albipennis,White-quilled Rock Pigeon,,1,0.125,,,0.0011396,skull filling
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia cuneata,Diamond Dove,,1,0.033,,,0.00080808,skull filling
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia striata,Zebra Dove,,1,0.0485,,,0.00081844,skull filling
Chordata,Aves,Columbiformes,Columbidae,Geopelia,Geopelia humeralis,Bar-shouldered Dove,,1,0.13,,,0.00130536,skull filling
Chordata,Aves,Columbiformes,Columbidae,Leucosarcia,Leucosarcia melanoleuca,Wonga Pigeon,,1,0.415,,,0.00249676,skull filling
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus magnificus,Wompoo Fruit Dove,,1,0.335,,,0.00224812,skull filling
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus superbus,Superb Fruit Dove,,1,0.107,,,0.00112924,skull filling
Chordata,Aves,Columbiformes,Columbidae,Ptilinopus,Ptilinopus regina,Rose-crowned Fruit Dove,,1,0.095,,,0.00125356,skull filling
Chordata,Aves,Columbiformes,Columbidae,Lopholaimus,Lopholaimus antarcticus,Topknot Pigeon,,1,0.575,,,0.00280756,skull filling
Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,Podargus strigoides,Tawny Frogmouth,,1,0.285,,,0.00503496,skull filling
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,Eurostopodus mystacalis,White-throated Nightjar,,1,0.13,,,0.00137788,skull filling
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,Eurostopodus argus,Spotted Nightjar,,1,0.0975,,,0.00128464,skull filling
Chordata,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus macrurus,Large-tailed Nightjar,,1,0.0675,,,0.00104636,skull filling
Chordata,Aves,Apodiformes,Aegothelidae,Aegotheles,Aegotheles cristatus,Australian Owlet-nightjar,,1,0.045,,,0.00147112,skull filling
Chordata,Aves,Apodiformes,Apodidae,Aerodramus,Aerodramus terraereginae,Australian Swiftlet,,1,0.0125,,,0.00024864,skull filling
Chordata,Aves,Apodiformes,Apodidae,Hirundapus,Hirundapus caudacutus,White-throated Needletail,,1,0.1175,,,0.00133644,skull filling
Chordata,Aves,Procellariiformes,Oceanitidae,Oceanites,Oceanites oceanicus,Wilson's Storm-Petrel,,1,0.035,,,0.00073556,skull filling
Chordata,Aves,Procellariiformes,Oceanitidae,Pelagodroma,Pelagodroma marina,White-faced Storm-Petrel,,1,0.055,,,0.00100492,skull filling
Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,Diomedea exulans,Wandering albatross species complex,,1,8.59,,,0.029267,skull filling
Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche cauta,Shy Albatross,,1,4.025,,,0.02003624,skull filling
Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche chrysostoma,Gray-headed Albatross,,1,3.41,,,0.0198394,skull filling
Chordata,Aves,Procellariiformes,Diomedeidae,Phoebetria,Phoebetria palpebrata,Light-mantled Albatross,,1,2.8,,,0.01754984,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,Southern Giant Petrel,,1,4.34,,,0.01858584,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Fulmarus,Fulmarus glacialoides,Southern Fulmar,,1,0.8,,,0.00772856,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Daption,Daption capense,Pintado Petrel,,1,0.44,,,0.00520072,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Halobaena,Halobaena caerulea,Blue Petrel,,1,0.201,,,0.00286972,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila salvini,Salvin's Prion,,1,0.162,,,0.00213416,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila desolata,Antarctic Prion,,1,0.152,,,0.0021756,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila belcheri,Slender-billed Prion,,1,0.149,,,0.002072,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila turtur,Fairy Prion,,1,0.1279,,,0.002072,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria aequinoctialis,White-chinned Petrel,,1,1.369,,,0.00931364,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Procellaria,Procellaria cinerea,Grey Petrel,,1,1.032,,,0.00879564,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna pacifica,Wedge-tailed Shearwater,,1,0.465,,,0.00411292,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna grisea,Sooty Shearwater,,1,0.8,,,0.00550116,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Ardenna tenuirostris,Short-tailed Shearwater,,1,0.585,,,0.004662,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus gavia,Fluttering Shearwater,,1,0.266,,,0.00302512,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Lugensa,Lugensa brevirostris,Kerguelen Petrel,,1,0.357,,,0.00441336,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma lessonii,White-headed Petrel,,1,0.692,,,0.00608132,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma macroptera,Grey-faced Petrel,,1,0.58,,,0.00505568,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pterodroma,Pterodroma leucoptera,Gould's Petrel,,1,0.18,,,0.00256928,skull filling
Chordata,Aves,Procellariiformes,Procellariidae,Pelecanoides,Pelecanoides urinatrix,Common Diving Petrel,,1,0.15,,,0.00175084,skull filling
Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula minor,Little Penguin,,1,1.1,,,0.00762496,skull filling
Chordata,Aves,Suliformes,Fregatidae,Fregata,Fregata minor,Great Frigatebird,,1,1.44,,,0.00956228,skull filling
Chordata,Aves,Suliformes,Sulidae,Sula,Sula leucogaster,Brown Booby,,1,2.05,,,0.00936544,skull filling
Chordata,Aves,Suliformes,Anhingidae,Anhinga,Anhinga novaehollandiae,Australasian Darter,,1,1.5,,,0.00472416,skull filling
Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Microcarbo,Microcarbo melanoleucos,Little Pied Cormorant,,1,0.65,,,0.00553224,skull filling
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo,Great Cormorant,,1,2.15,,,0.0108262,skull filling
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax sulcirostris,Little Black Cormorant,,1,1,,,0.00584304,skull filling
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax varius,Pied Cormorant,,1,2.2,,,0.00954156,skull filling
Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax fuscescens,Black-faced Cormorant,,1,1.515,,,0.00921004,skull filling
Chordata,Aves,Pelecaniformes,Pelecanidae,Pelecanus,Pelecanus conspicillatus,Australian Pelican,,1,5.4,,,0.02577568,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Botaurus,Botaurus poiciloptilus,Australasian Bittern,,1,1.16,,,0.0060088,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus dubius,Black-backed Bittern,,1,0.0895,,,0.0017094,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ixobrychus,Ixobrychus flavicollis,Black Bittern,,1,0.3665,,,0.0026936,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea pacifica,White-necked Heron,,1,0.91,,,0.00534576,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea modesta,Eastern Great Egret,,1,1.1615,,,0.00522144,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea intermedia intermedia,Medium Egret,,1,0.403,,,0.0042994,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea sumatrana,Great-billed Heron,,1,1.95,,,0.00904428,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,Ardea ibis,Western Cattle-Egret,,1,0.363,,,0.00394716,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Butorides,Butorides striata,Green Heron,,1,0.225,,,0.00256928,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Egretta,Egretta novaehollandiae,White-faced Heron,,1,0.58,,,0.00405076,skull filling
Chordata,Aves,Pelecaniformes,Ardeidae,Nycticorax,Nycticorax caledonicus,Nankeen Night Heron,,1,0.725,,,0.0057498,skull filling
Chordata,Aves,Pelecaniformes,Threskiornithidae,Plegadis,Plegadis falcinellus,Glossy Ibis,,1,0.5325,,,0.00530432,skull filling
Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis molucca,Australian Ibis,,1,1.825,,,0.0102564,skull filling
Chordata,Aves,Pelecaniformes,Threskiornithidae,Threskiornis,Threskiornis spinicollis,Straw-necked Ibis,,1,1.36,,,0.00871276,skull filling
Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea regia,Royal Spoonbill,,1,1.735,,,0.0118104,skull filling
Chordata,Aves,Pelecaniformes,Threskiornithidae,Platalea,Platalea flavipes,Yellow-billed Spoonbill,,1,1.871,,,0.01152032,skull filling
Chordata,Aves,Accipitriformes,Pandionidae,Pandion,Pandion cristatus,Australasian Osprey,,1,1.415,,,0.00971768,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Elanus,Elanus axillaris,Black-shouldered Kite,,1,0.2605,,,0.00349132,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,Lophoictinia isura,Square-tailed Kite,,1,0.5675,,,0.006734,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Hamirostra,Hamirostra melanosternon,Black-breasted Kite,,1,1.3,,,0.0107226,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Aviceda,Aviceda subcristata,Pacific Baza,,1,0.3535,,,0.0048692,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,Haliaeetus leucogaster,White-bellied Sea-Eagle,,1,3.35,,,0.01308468,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,Haliastur sphenurus,Whistling Kite,,1,0.775,,,0.00684796,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,Haliastur indus,Brahminy Kite,,1,0.5835,,,0.0064232,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Milvus,Milvus migrans,Black Kite,,1,0.587,,,0.00602952,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter fasciatus,Brown Goshawk,,1,0.403,,,0.004662,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter cirrocephalus,Collared Sparrowhawk,,1,0.1825,,,0.00247604,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,Accipiter novaehollandiae,Grey Goshawk,,1,0.515,,,0.00491064,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Circus,Circus approximans,Swamp Harrier,,1,0.74,,,0.00567728,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Aquila,Aquila audax,Wedge-tailed Eagle,,1,3.814,,,0.01682464,skull filling
Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,Hieraaetus morphnoides,Little Eagle,,1,0.815,,,0.00809116,skull filling
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco cenchroides,Nankeen Kestrel,,1,0.185,,,0.00324268,skull filling
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco berigora,Brown Falcon,,1,0.5475,,,0.00646464,skull filling
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco longipennis,Australian Hobby,,1,0.2485,,,0.0034706,skull filling
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco subniger,Black Falcon,,1,0.765,,,0.006734,skull filling
Chordata,Aves,Falconiformes,Falconidae,Falco,Falco peregrinus,Peregrine Falcon,,1,0.715,,,0.00641284,skull filling
Chordata,Aves,Gruiformes,Gruidae,Grus,Grus antigone,Sarus Crane,,1,5.75,,,0.02078216,skull filling
Chordata,Aves,Gruiformes,Gruidae,Grus,Grus rubicunda,Brolga,,1,6.2,,,0.01832684,skull filling
Chordata,Aves,Gruiformes,Rallidae,Porphyrio,Porphyrio porphyrio,Swamphens and Blue Gallinules,,1,0.9945,,,0.0048692,skull filling
Chordata,Aves,Gruiformes,Rallidae,Lewinia,Lewinia pectoralis,Lewin's Rail,,1,0.0875,,,0.00138824,skull filling
Chordata,Aves,Gruiformes,Rallidae,Gallirallus,Gallirallus philippensis,Buff-banded Rail,,1,0.1815,,,0.00204092,skull filling
Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana pusilla,Baillon's Crake,,1,0.037,,,0.000777,skull filling
Chordata,Aves,Gruiformes,Rallidae,Porzana,Porzana fluminea,Australian Crake,,1,0.06,,,0.00106708,skull filling
Chordata,Aves,Gruiformes,Rallidae,Amaurornis,Amaurornis moluccana,Pale-vented Bush-hen,,1,0.1685,,,0.00220668,skull filling
Chordata,Aves,Gruiformes,Rallidae,Tribonyx,Tribonyx ventralis,Black-tailed Nativehen,,1,0.39,,,0.00286972,skull filling
Chordata,Aves,Gruiformes,Rallidae,Gallinula,Gallinula tenebrosa,Dusky Moorhen,,1,0.528,,,0.00280756,skull filling
Chordata,Aves,Gruiformes,Rallidae,Fulica,Fulica atra,Eurasian Coot,,1,0.568,,,0.0029526,skull filling
Chordata,Aves,Otidiformes,Otididae,Ardeotis,Ardeotis australis,Australian Bustard,,1,5.5,,,0.0120694,skull filling
Chordata,Aves,Charadriiformes,Burhinidae,Burhinus,Burhinus grallarius,Bush Stone-curlew,,1,0.695,,,0.00446516,skull filling
Chordata,Aves,Charadriiformes,Burhinidae,Esacus,Esacus magnirostris,Beach Stone-curlew,,1,1,,,0.0055426,skull filling
Chordata,Aves,Charadriiformes,Haematopodidae,Haematopus,Haematopus longirostris,Pied Oystercatcher,,1,0.596,,,0.004403,skull filling
Chordata,Aves,Charadriiformes,Recurvirostridae,Recurvirostra,Recurvirostra novaehollandiae,Red-necked Avocet,,1,0.33,,,0.00206164,skull filling
Chordata,Aves,Charadriiformes,Recurvirostridae,Cladorhynchus,Cladorhynchus leucocephalus,Banded Stilt,,1,0.24,,,0.00166796,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis fulva,Pacific Golden-Plover,,1,0.1475,,,0.00183372,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,Pluvialis squatarola,Black-bellied Plover,,1,0.25,,,0.00265216,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius ruficapillus,Red-capped Plover,,1,0.0405,,,0.00084952,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius bicinctus,Double-banded Plover,,1,0.07,,,0.00114996,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius mongolus,Tibetan Sand-Plover,,1,0.0635,,,0.00117068,skull filling
Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius leschenaultii,Greater Sand-Plover,,1,0.0875,,,0.00130536,skull filling
